,State,County,Base Estimate,2020,2021,2022
286, Colorado,Moffat,13291,13264,13155.0,13177.0
287, Colorado,Montezuma,25846,25883,26216.0,26468.0
288, Colorado,Montrose,42680,42817,43230.0,43811.0
289, Colorado,Morgan,29106,29072,28995.0,29239.0
290, Colorado,Otero,18692,18667,18536.0,18303.0
291, Colorado,Ouray,4880,4881,5059.0,5100.0
292, Colorado,Park,17395,17419,17758.0,17939.0
293, Colorado,Phillips,4537,4531,4508.0,4449.0
294, Colorado,Pitkin,17358,17354,17350.0,16876.0
295, Colorado,Prowers,11995,12010,11994.0,11854.0
296, Colorado,Pueblo,168168,168325,169332.0,169544.0
297, Colorado,Rio,6531,6524,6453.0,6569.0
298, Colorado,Rio,11539,11538,11388.0,11325.0
299, Colorado,Routt,24824,24829,25056.0,25007.0
300, Colorado,Saguache,6372,6393,6505.0,6623.0
301, Colorado,San,703,710,740.0,803.0
302, Colorado,San,8071,8054,8074.0,8003.0
303, Colorado,Sedgwick,2402,2390,2331.0,2295.0
304, Colorado,Summit,31052,30994,30971.0,30565.0
305, Colorado,Teller,24711,24747,24939.0,24857.0
306, Colorado,Washington,4814,4808,4850.0,4812.0
307, Colorado,Weld,328976,331427,339811.0,350176.0
308, Colorado,Yuma,9990,9979,9943.0,9899.0
309, Connecticut,Capitol,976269,973159,980757.0,981447.0
310, Connecticut,Greater,325777,324932,327229.0,327286.0
311, Connecticut,Lower,174221,173927,176095.0,176622.0
312, Connecticut,Naugatuck,450447,449896,452894.0,454083.0
313, Connecticut,Northeastern,95344,95274,95708.0,96196.0
314, Connecticut,Northwest,112456,112269,112974.0,113234.0
315, Connecticut,South,570453,569237,573562.0,573244.0
316, Connecticut,Southeastern,280444,279522,280117.0,280403.0
317, Connecticut,Western,620531,619146,624019.0,623690.0
318, Delaware,Kent,181856,182362,184371.0,186946.0
319, Delaware,New,570721,570873,572714.0,575494.0
320, Delaware,Sussex,237380,238879,247722.0,255956.0
321, District of Columbia,District,689546,670868,668791.0,671803.0
322, Florida,Alachua,278475,279742,281817.0,284030.0
323, Florida,Baker,28263,28115,28673.0,27803.0
324, Florida,Bay,175204,174506,179498.0,185134.0
325, Florida,Bradford,28306,28224,28050.0,27313.0
326, Florida,Brevard,606603,608713,617742.0,630693.0
327, Florida,Broward,1944376,1943266,1935729.0,1947026.0
328, Florida,Calhoun,13644,13703,13514.0,13464.0
329, Florida,Charlotte,186850,188013,194934.0,202661.0
330, Florida,Citrus,153855,154565,158113.0,162529.0
331, Florida,Clay,218250,218933,222533.0,226589.0
332, Florida,Collier,375760,377293,387241.0,397994.0
333, Florida,Columbia,69701,69737,69902.0,71908.0
334, Florida,DeSoto,33975,34087,34340.0,35312.0
335, Florida,Dixie,16758,16690,16905.0,17124.0
336, Florida,Duval,995560,997604,1002252.0,1016536.0
337, Florida,Escambia,321897,322551,323480.0,324878.0
338, Florida,Flagler,115383,116030,120904.0,126705.0
339, Florida,Franklin,12452,12463,12175.0,12498.0
340, Florida,Gadsden,43820,43402,43554.0,43403.0
341, Florida,Gilchrist,17862,17883,18306.0,18992.0
342, Florida,Glades,12127,12068,12268.0,12454.0
343, Florida,Gulf,14200,14264,14452.0,15314.0
344, Florida,Hamilton,14006,13733,13082.0,13217.0
345, Florida,Hardee,25326,25331,25307.0,25645.0
346, Florida,Hendry,39626,39725,40212.0,41339.0
347, Florida,Hernando,194515,195627,200649.0,206896.0
348, Florida,Highlands,101238,101345,103295.0,105618.0
349, Florida,Hillsborough,1459773,1466160,1484455.0,1513301.0
350, Florida,Holmes,19657,19569,19295.0,19651.0
351, Florida,Indian,159789,160439,163814.0,167352.0
352, Florida,Jackson,47309,47079,47154.0,48211.0
353, Florida,Jefferson,14507,14390,14476.0,15042.0
354, Florida,Lafayette,8225,8214,7958.0,7786.0
355, Florida,Lake,383959,386194,396242.0,410139.0
356, Florida,Lee,760820,765504,790676.0,822453.0
357, Florida,Leon,292203,293948,296081.0,297369.0
358, Florida,Levy,42912,43059,44158.0,45260.0
359, Florida,Liberty,7976,7805,7308.0,7603.0
360, Florida,Madison,17970,17866,18069.0,18198.0
361, Florida,Manatee,399705,401593,413474.0,429125.0
362, Florida,Marion,375906,377459,385084.0,396415.0
