,CountyName,StateName,Fatals,lat,long
305,CADDO ,Louisiana,162,32.7565317,-93.9737925
306,CADDO ,Oklahoma,33,34.1267595,-96.2633229
307,CAGUAS ,Puerto Rico,37,18.23598,-66.030975
308,CALAVERAS ,California,40,18.897391,-100.2828432
309,CALCASIEU ,Louisiana,148,31.0896313,-92.7115348
310,CALDWELL ,Kentucky,9,38.806734,-84.3913267
311,CALDWELL ,Louisiana,8,30.5305813,-96.6969703
312,CALDWELL ,Missouri,5,30.5305813,-96.6969703
313,CALDWELL ,North Carolina,43,36.189863,-79.0172325
314,CALDWELL ,Texas,42,33.7659165,-101.9576725
315,CALHOUN ,Alabama,79,33.7514505,-85.8315666
316,CALHOUN ,Arkansas,12,33.5556787,-92.5143633
317,CALHOUN ,Florida,18,34.6926053,-82.831532
318,CALHOUN ,Georgia,4,34.502587,-84.9510542
319,CALHOUN ,Illinois,4,38.6503262,-88.0436473
320,CALHOUN ,Iowa,5,42.3808184,-94.6332459
321,CALHOUN ,Michigan,77,42.2461339,-85.0229223
322,CALHOUN ,Mississippi,18,32.2676456,-89.1517261
323,CALHOUN ,South Carolina,19,34.6926053,-82.831532
324,CALHOUN ,Texas,12,28.5031572,-96.6736551
325,CALLAHAN ,Texas,29,32.2810409,-99.3612437
326,CALLAWAY ,Missouri,33,38.9161525,-91.9501796
327,CALLOWAY ,Kentucky,21,36.6257937,-88.271076
328,CALVERT ,Maryland,29,39.7003884,-75.9824455
329,CAMAS ,Idaho,1,43.4064019,-114.8070143
330,CAMBRIA ,Pennsylvania,35,40.6575819,-78.7790754
331,CAMDEN ,Georgia,21,51.5423045,-0.1395604
332,CAMDEN ,Missouri,44,38.0323133,-92.7638327
333,CAMDEN ,New Jersey,190,39.9448402,-75.1198911
334,CAMDEN ,North Carolina,4,36.3284897,-76.1718764
335,CAMERON ,Louisiana,7,29.7973126,-93.3256033
336,CAMERON ,Pennsylvania,5,41.4542298,-78.1755625
337,CAMERON ,Texas,104,30.8532454,-96.9769304
338,CAMP ,Texas,17,32.9723128,-94.9852858
339,CAMPBELL ,Kentucky,29,42.2331295,-77.1974748
340,CAMPBELL ,South Dakota,1,45.7560544,-100.0441548
341,CAMPBELL ,Tennessee,27,36.0820069,-85.5360883
342,CAMUY ,Puerto Rico,3,18.48303,-66.853423
343,CANADIAN ,Oklahoma,73,35.1773202,-95.6552659
344,CANDLER ,Georgia,13,34.2103823,-83.781285
345,CANNON ,Tennessee,14,35.7736841,-84.6360484
346,CANYON ,Idaho,92,47.5751928,-116.4126738
347,CANÓVANAS ,Puerto Rico,6,18.37773,-65.90628
348,CAPE GIRARDEAU ,Missouri,32,37.3034933,-89.5230357
349,CAPE MAY ,New Jersey,42,38.933431,-74.9214226
350,CARBON ,Montana,14,43.4088984,23.2203193
351,CARBON ,Pennsylvania,35,40.2903472,-79.5603181
352,CARBON ,Utah,16,39.6023917,-110.6505023
353,CARIBOU ,Idaho,7,42.780196,-111.6052607
354,CARLISLE ,Kentucky,8,38.3120197,-84.027427
355,CARLTON ,Minnesota,11,46.6638322,-92.4249135
356,CAROLINA ,Puerto Rico,27,18.399299,-65.969759
357,CAROLINE ,Maryland,23,39.06963365,-75.77118232656436
358,CARROLL ,Arkansas,26,36.3386737,-93.5093048
359,CARROLL ,Georgia,87,33.7737177,-84.5113203
360,CARROLL ,Illinois,9,42.0647352,-89.9556785
361,CARROLL ,Indiana,12,-30.9869427,150.4421566
362,CARROLL ,Iowa,5,42.0651109,-94.8666108
363,CARROLL ,Kentucky,12,38.65718,-85.1000246
364,CARROLL ,Maryland,45,39.4639916,-76.9527577
365,CARROLL ,Mississippi,13,33.9773321,-88.4592095
366,CARROLL ,Missouri,11,39.441912,-93.516971
